100-4-3          &     100       &     189       &     9         &&    5752      &     5752      &     0.00      &     0.01      &     1         &     32        &     0         \\    
100-4-4          &     100       &     200       &     9         &&    4883      &     4883      &     0.00      &     0.02      &     1         &     20        &     1         \\    
100-5-0          &     100       &     247       &     6         &&    4918      &     4918      &     0.00      &     0.00      &     1         &     16        &     0         \\    
100-5-1          &     100       &     247       &     6         &&    4610      &     4610      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-5-2          &     100       &     247       &     6         &&    4881      &     4881      &     0.00      &     0.01      &     1         &     21        &     0         \\    
100-5-3          &     100       &     225       &     6         &&    4413      &     4413      &     0.00      &     0.01      &     1         &     23        &     1         \\    
100-5-4          &     100       &     275       &     6         &&    4995      &     4995      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-0          &     100       &     317       &     10        &&    5356      &     5356      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-1          &     100       &     313       &     10        &&    4726      &     4726      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-2          &     100       &     321       &     10        &&    4447      &     4447      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-3          &     100       &     273       &     10        &&    4816      &     4816      &     0.00      &     0.00      &     1         &     10        &     0         \\    
100-6-4          &     100       &     283       &     10        &&    4821      &     4821      &     0.00      &     0.01      &     1         &     17        &     0         \\    
100-7-0          &     100       &     379       &     7         &&    5093      &     5093      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-7-1          &     100       &     332       &     7         &&    5349      &     5349      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-7-2          &     100       &     328       &     7         &&    4600      &     4600      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-7-3          &     100       &     339       &     7         &&    5304      &     5304      &     0.00      &     0.00      &     1         &     15        &     0         \\    
100-7-4          &     100       &     369       &     7         &&    4921      &     4921      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-0          &     100       &     379       &     6         &&    5081      &     5081      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-1          &     100       &     427       &     6         &&    5092      &     5092      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-2          &     100       &     368       &     6         &&    5303      &     5303      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-3          &     100       &     385       &     6         &&    4970      &     4970      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-4          &     100       &     380       &     6         &&    5657      &     5657      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-0          &     100       &     436       &     6         &&    5118      &     5118      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-1          &     100       &     448       &     6         &&    5248      &     5248      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-2          &     100       &     423       &     6         &&    4970      &     4970      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-3          &     100       &     413       &     6         &&    5266      &     5266      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-4          &     100       &     437       &     6         &&    4838      &     4838      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-0         &     100       &     487       &     6         &&    4510      &     4510      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-1         &     100       &     501       &     6         &&    4234      &     4234      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-2         &     100       &     512       &     6         &&    4510      &     4510      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-3         &     100       &     535       &     6         &&    5142      &     5142      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-4         &     100       &     472       &     6         &&    4992      &     4992      &     0.00      &     0.00      &     1         &     0         &     0         \\    
