100-1-0          &     100       &     52        &     7         &&    4605      &     4605      &     0.00      &     38.68     &     104118    &     681282    &     0         \\    
100-1-1          &     100       &     42        &     7         &&    2468      &     3442      &     39.47     &     1800.25   &     1119062   &     4405330   &     0         \\    
100-1-2          &     100       &     38        &     7         &&    1574      &     2457      &     56.10     &     1802.52   &     711382    &     2588392   &     0         \\    
100-1-3          &     100       &     52        &     7         &&    3850      &     4060      &     5.45      &     1800.06   &     1020084   &     3620575   &     0         \\    
100-1-4          &     100       &     42        &     7         &&    1634      &     2907      &     77.91     &     1800.18   &     1235368   &     4446713   &     0         \\    
100-2-0          &     100       &     87        &     2         &&    3841      &     3841      &     0.00      &     64.04     &     148545    &     138393    &     0         \\    
100-2-1          &     100       &     95        &     2         &&    4578      &     4578      &     0.00      &     33.10     &     72034     &     93894     &     0         \\    
100-2-2          &     100       &     110       &     2         &&    4838      &     4838      &     0.00      &     1.36      &     4723      &     8043      &     0         \\    
100-2-3          &     100       &     100       &     2         &&    3946      &     3946      &     0.00      &     44.51     &     100827    &     139242    &     0         \\    
100-2-4          &     100       &     101       &     2         &&    3856      &     3856      &     0.00      &     48.91     &     86338     &     149194    &     0         \\    
100-3-0          &     100       &     130       &     10        &&    4972      &     4972      &     0.00      &     101.88    &     87595     &     814569    &     0         \\    
100-3-1          &     100       &     153       &     10        &&    5139      &     5139      &     0.00      &     2.76      &     8570      &     85537     &     0         \\    
100-3-2          &     100       &     136       &     10        &&    5345      &     5345      &     0.00      &     0.03      &     1         &     81        &     0         \\    
100-3-3          &     100       &     116       &     10        &&    4622      &     4638      &     0.37      &     1800.05   &     424502    &     2400224   &     0         \\    
100-3-4          &     100       &     155       &     10        &&    4663      &     4663      &     0.00      &     0.02      &     1         &     38        &     0         \\    
100-4-0          &     100       &     197       &     9         &&    5161      &     5161      &     0.00      &     0.01      &     1         &     18        &     0         \\    
100-4-1          &     100       &     183       &     9         &&    5431      &     5431      &     0.00      &     0.03      &     1         &     66        &     0         \\    
100-4-2          &     100       &     216       &     9         &&    4897      &     4897      &     0.00      &     0.00      &     1         &     10        &     0         \\    
100-4-3          &     100       &     189       &     9         &&    5752      &     5752      &     0.00      &     0.01      &     1         &     32        &     0         \\    
100-4-4          &     100       &     200       &     9         &&    4883      &     4883      &     0.00      &     0.01      &     1         &     20        &     0         \\    
100-5-0          &     100       &     247       &     6         &&    4918      &     4918      &     0.00      &     0.00      &     1         &     16        &     0         \\    
100-5-1          &     100       &     247       &     6         &&    4610      &     4610      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-5-2          &     100       &     247       &     6         &&    4881      &     4881      &     0.00      &     0.01      &     1         &     21        &     0         \\    
100-5-3          &     100       &     225       &     6         &&    4413      &     4413      &     0.00      &     0.01      &     1         &     23        &     0         \\    
100-5-4          &     100       &     275       &     6         &&    4995      &     4995      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-0          &     100       &     317       &     10        &&    5356      &     5356      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-1          &     100       &     313       &     10        &&    4726      &     4726      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-2          &     100       &     321       &     10        &&    4447      &     4447      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-6-3          &     100       &     273       &     10        &&    4816      &     4816      &     0.00      &     0.01      &     1         &     10        &     0         \\    
100-6-4          &     100       &     283       &     10        &&    4821      &     4821      &     0.00      &     0.01      &     1         &     17        &     0         \\    
100-7-0          &     100       &     379       &     7         &&    5093      &     5093      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-7-1          &     100       &     332       &     7         &&    5349      &     5349      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-7-2          &     100       &     328       &     7         &&    4600      &     4600      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-7-3          &     100       &     339       &     7         &&    5304      &     5304      &     0.00      &     0.00      &     1         &     15        &     0         \\    
100-7-4          &     100       &     369       &     7         &&    4921      &     4921      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-0          &     100       &     379       &     6         &&    5081      &     5081      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-1          &     100       &     427       &     6         &&    5092      &     5092      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-2          &     100       &     368       &     6         &&    5303      &     5303      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-3          &     100       &     385       &     6         &&    4970      &     4970      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-8-4          &     100       &     380       &     6         &&    5657      &     5657      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-0          &     100       &     436       &     6         &&    5118      &     5118      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-1          &     100       &     448       &     6         &&    5248      &     5248      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-2          &     100       &     423       &     6         &&    4970      &     4970      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-3          &     100       &     413       &     6         &&    5266      &     5266      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-9-4          &     100       &     437       &     6         &&    4838      &     4838      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-0         &     100       &     487       &     6         &&    4510      &     4510      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-1         &     100       &     501       &     6         &&    4234      &     4234      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-2         &     100       &     512       &     6         &&    4510      &     4510      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-3         &     100       &     535       &     6         &&    5142      &     5142      &     0.00      &     0.00      &     1         &     0         &     0         \\    
100-10-4         &     100       &     472       &     6         &&    4992      &     4992      &     0.00      &     0.00      &     1         &     0         &     0         \\    
